20 graphs in wdGraphs.txt.

** G1: |V|=5, V={0,1,...4}
(u, v, weight) E = { 
      ( 0,  2, 10.869)
      ( 1,  4, 25.297)
      ( 2,  0,  8.403)
      ( 2,  1, 12.700)
      ( 3,  0, 89.156)
      ( 4,  3, 38.522) }
------------------------- 

** G2: |V|=5, V={0,1,...4}
(u, v, weight) E = { 
      ( 0,  1, 36.117)
      ( 0,  3, 46.188)
      ( 1,  0, 35.084)
      ( 2,  1,  0.755)
      ( 3,  2,  2.365)
      ( 3,  4, 26.595)
      ( 4,  0, 60.736)
      ( 4,  1, 93.080)
      ( 4,  3,  3.969) }
------------------------- 

** G3: |V|=55, V={0,1,...54}
(u, v, weight) E = { 
      ( 1, 14, 81.984)
      ( 1, 42, 49.425)
      ( 2, 12, 84.329)
      ( 3, 50, 48.934)
      ( 4, 31, 42.738)
      ( 7, 11, 39.953)
      ( 7, 25, 17.295)
      ( 8, 47, 55.911)
      (10,  1, 83.320)
      (13, 11, 52.715)
      (15,  6, 20.899)
      (16, 54, 80.682)
      (17,  8, 53.483)
      (19,  0, 53.367)
      (19,  7, 10.473)
      (19, 13, 74.195)
      (19, 30, 20.682)
      (20, 10, 39.014)
      (21,  6, 60.170)
      (23, 35, 96.841)
      (24,  0, 70.185)
      (24,  7,  9.653)
      (25, 19, 39.171)
      (25, 33, 66.019)
      (25, 47, 87.557)
      (26,  1, 89.358)
      (26, 20, 42.152)
      (26, 35, 10.107)
      (27, 10, 15.515)
      (28, 24, 95.809)
      (28, 52, 35.810)
      (29, 31, 24.863)
      (30, 26,  5.359)
      (31, 40, 48.357)
      (32,  8, 18.835)
      (32, 14, 45.900)
      (32, 21,  5.219)
      (33, 11, 97.709)
      (33, 40, 26.084)
      (33, 53, 44.026)
      (35, 31, 80.585)
      (35, 43,  8.109)
      (36,  7, 82.896)
      (36, 37,  4.007)
      (37, 41, 78.749)
      (37, 48, 22.544)
      (38, 45, 55.954)
      (38, 54, 34.608)
      (39,  9, 62.198)
      (39, 11, 30.689)
      (39, 34, 77.249)
      (40,  1, 50.221)
      (40, 10, 10.293)
      (40, 16, 17.635)
      (40, 19, 16.358)
      (42,  0, 43.370)
      (42, 34, 81.084)
      (43, 32, 62.201)
      (44, 49, 52.991)
      (46,  8, 94.193)
      (48, 26, 84.985)
      (49, 14, 62.499)
      (50, 23, 32.697)
      (51, 34, 37.404)
      (52, 31, 14.180)
      (53,  7, 96.806)
      (54, 39, 76.298) }
------------------------- 

** G4: |V|=55, V={0,1,...54}
(u, v, weight) E = { 
      ( 0, 17, 66.066)
      ( 0, 15, 27.856)
      ( 0, 23, 14.008)
      ( 0, 33, 50.186)
      ( 0, 36, 64.445)
      ( 0, 41, 80.728)
      ( 1, 29, 30.927)
      ( 1, 45,  1.949)
      ( 2,  7, 71.959)
      ( 3,  4, 27.627)
      ( 3, 28, 91.427)
      ( 5, 28, 76.807)
      ( 5, 48, 71.179)
      ( 7, 19, 95.150)
      ( 7, 39, 67.412)
      ( 8, 51, 89.190)
      ( 9, 37, 45.243)
      ( 9, 47, 51.515)
      (11, 44, 88.057)
      (11, 46, 74.605)
      (12, 31, 18.150)
      (13, 15, 88.564)
      (13, 52, 14.340)
      (14,  0, 59.483)
      (14,  3, 43.752)
      (14,  4, 67.171)
      (14,  7,  4.933)
      (15, 20, 92.277)
      (15, 40, 25.831)
      (16, 13, 83.488)
      (16, 23, 94.646)
      (16, 42, 75.040)
      (16, 49, 88.960)
      (17,  7, 34.648)
      (17, 23, 18.973)
      (17, 26, 74.896)
      (17, 46, 24.824)
      (18,  9, 20.363)
      (18, 15, 79.022)
      (19, 13, 29.193)
      (20, 29, 12.388)
      (22, 17, 68.252)
      (25,  8, 32.118)
      (25, 41, 64.081)
      (26, 19, 83.625)
      (27,  2, 28.343)
      (27, 15, 33.009)
      (27, 49, 14.345)
      (29,  1, 11.800)
      (30, 12, 60.008)
      (30, 49, 53.613)
      (31,  3, 15.449)
      (31, 16, 52.350)
      (31, 29, 46.519)
      (33, 53, 94.684)
      (34,  6, 64.937)
      (34,  7, 75.019)
      (34, 19, 45.088)
      (34, 51, 56.281)
